Word,Definition,Turkish Translation,Example Sentence,Part of Speech,Related Forms,Synonyms,Antonyms,Collocations,Topic,Lang
kindness,"The quality of being friendly, generous, and considerate",nezaket,Her kindness is appreciated.,"noun, verb",kindnesses,"generosity, consideration","unkindness, cruelty","act of kindness, kindness to",khác,en
king,"The male ruler of an independent state, especially one who inherits the position by right of birth",kral,The king addressed his subjects.,"noun, verb",kings,"monarch, sovereign","commoner, subject","king and queen, the king's",văn hóa,en
kiss,"Touch with the lips as a sign of love, sexual desire, reverence, or greeting",öpücük,He kissed her on the cheek.,"verb, noun",kisses,"peck, smooch","slap, hit","kiss on the cheek, kiss and tell",khác,en
kitchen,A room or area where food is prepared and cooked,mutfak,She cooked dinner in the kitchen.,"noun, adjective",kitchens,"cookhouse, galley",none,"kitchen table, kitchen sink",thức ăn,en
knee,The joint between the thigh and the lower leg,diz,He injured his knee while playing soccer.,"noun, verb",knees,"joint, patella",none,"knee injury, knee joint",khác,en
knife,"An instrument composed of a blade fixed into a handle, used for cutting or as a weapon",bıçak,He cut the vegetables with a knife.,"noun, verb",knives,"blade, cutter",none,"sharp knife, knife blade",thức ăn,en
knit,"Make (a garment, fabric, etc.) by interlocking loops of wool or other yarn with knitting needles or on a machine",örmek,She likes to knit scarves.,"verb, noun","knits, knitting, knitted","weave, stitch",none,"knit a sweater, knit together",khác,en
knock,"Strike a surface noisily to attract attention, especially when waiting to be let in through a door",vurmak,He knocked on the door.,"verb, noun","knocks, knocking, knocked","rap, tap","ignore, overlook","knock on the door, knock down",luyện trí não,en
know,"Be aware of through observation, inquiry, or information",bilmek,I know the answer.,"verb, noun","knows, knowing, known","understand, recognize","ignore, misunderstand","know the answer, know how",trường học,en
knowledge,"Facts, information, and skills acquired through experience or education; the theoretical or practical understanding of a subject",bilgi,His knowledge of history is impressive.,"noun, verb",knowledges,"wisdom, learning","ignorance, incomprehension","vast knowledge, acquire knowledge",trường học,en
label,"A small piece of paper, fabric, plastic, or similar material attached to an object and giving information about it",etiket,She read the label on the bottle.,"noun, verb",labels,"tag, marker",none,"product label, label on",trường học,en
laboratory,"A room or building equipped for scientific experiments, research, or teaching, or for the manufacture of drugs or chemicals",laboratuvar,The scientist works in a laboratory.,"noun, adjective",laboratories,"lab, research center",none,"scientific laboratory, chemistry laboratory",nghề nghiệp,en
lack,The state of being without or not having enough of something,eksiklik,There is a lack of evidence.,"noun, verb",lacks,"shortage, deficit","abundance, plenty","lack of, complete lack",khác,en
lady,A woman (used as a polite or old-fashioned form of reference),bayan,She is a kind lady.,"noun, adjective",ladies,"woman, dame","gentleman, man","young lady, kind lady",khác,en
lake,A large body of water surrounded by land,göl,They swam in the lake.,"noun, verb",lakes,"pond, reservoir","sea, ocean","swim in the lake, large lake",du lịch,en
lamp,"A device for giving light, either one consisting of an electric bulb together with its holder and shade or cover",lamba,He turned on the lamp.,"noun, verb",lamps,"light, lantern","darkness, shadow","table lamp, lamp post",khác,en
land,"The part of the earth's surface that is not covered by water, as opposed to the sea or the air",arazi,They bought a piece of land.,"noun, verb",lands,"ground, soil","sea, water","piece of land, own land",du lịch,en
landscape,"All the visible features of an area of countryside or land, often considered in terms of their aesthetic appeal",manzara,The landscape is beautiful.,"noun, verb",landscapes,"scenery, view",none,"beautiful landscape, landscape painting",du lịch,en
language,"The method of human communication, either spoken or written, consisting of the use of words in a structured and conventional way",dil,He speaks three languages.,"noun, verb",languages,"tongue, speech","silence, none","native language, foreign language",trường học,en
large,"Of considerable or relatively great size, extent, or capacity",büyük,They live in a large house.,"adjective, noun","larger, largest","big, huge","small, tiny","large house, large amount",khác,en
largely,To a great extent; mostly,büyük ölçüde,The success is largely due to teamwork.,adverb,larger,"mostly, mainly","little, slightly","largely due to, largely responsible",luyện trí não,en
last,Coming after all others in time or order; final,son,He was the last person to leave.,"adjective, noun","lasts, lasting, lasted","final, ultimate","first, initial","last person, last place",khác,en
late,"Doing something or taking place after the expected, proper, or usual time",geç,She arrived late to the meeting.,"adjective, adverb","later, latest","delayed, overdue","early, punctual","arrive late, late at night",nghề nghiệp,en
later,At a time subsequent to a reference time,daha sonra,We will discuss this later.,"adverb, adjective","later, latest","afterwards, subsequently","earlier, sooner","later today, see you later",luyện trí não,en
latest,The most recent or current,en son,Here is the latest news.,"adjective, noun",latest,"newest, most recent","oldest, outdated","latest news, latest technology",khác,en
laugh,Make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision,gülmek,The joke made everyone laugh.,"verb, noun","laughs, laughing, laughed","giggle, chuckle","cry, weep","laugh out loud, laugh at",luyện trí não,en
launch,Set (a boat) in motion by pushing it or allowing it to roll into the water,başlatmak,They will launch the new product next month.,"verb, noun","launches, launching, launched","initiate, commence","halt, stop","launch a campaign, product launch",nghề nghiệp,en
law,The system of rules which a particular country or community recognizes as regulating the actions of its members and which it may enforce by the imposition of penalties,kanun,Everyone must obey the law.,"noun, verb",laws,"rule, regulation","disorder, anarchy","break the law, law and order",văn hóa,en
lawyer,A person who practices or studies law; an attorney or a counselor,avukat,She is studying to become a lawyer.,"noun, verb",lawyers,"attorney, solicitor",none,"criminal lawyer, corporate lawyer",nghề nghiệp,en
lay,"Put down, especially gently or carefully",yatırmak,He lay down on the bed.,"verb, noun","lays, laying, laid","put, place","rise, stand","lay down, lay on",du lịch,en
layer,"A sheet, quantity, or thickness of material, typically one of several, covering a surface or body",katman,There is a layer of dust on the shelf.,"noun, verb",layers,"coating, film",none,"thin layer, layer of dust",khác,en
